,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
44,Allahabad,171,PM2.5,14,6,84,147,730,23,2,13,74,0
45,Gwalior,113,PM2.5,48,3,22,41,327,2,1,2,2,0
46,Ottawa,78,PM2.5,11,2,27,32,253,24,0,0,0,0
47,Zurich,29,O3,32,0,2,3,129,4,0,3,0,0
48,Belgrade,81,PM2.5,13,11,23,25,669,15,0,0,0,0
49,Amritsar,231,PM2.5,11,2,163,341,288,39,11,52,1,0
50,Joao Pessoa,51,PM2.5,20,0,13,23,77,1,0,0,0,0
51,Queretaro,141,PM2.5,4,8,52,194,2357,11,0,0,0,0
52,Taian Shandong,90,PM2.5,39,1,33,72,249,28,4,13,0,0
53,Copenhagen,66,PM2.5,6,0,16,21,306,17,21,1,0,0
54,Konya,129,PM2.5,3,10,54,57,394,41,0,0,0,0
55,Dhanbad,174,PM2.5,27,5,104,159,1838,31,0,33,0,0
56,Dallas,88,PM10,25,0,13,139,2,15,0,3,0,0
57,Ganzhou,112,PM2.5,83,4,41,86,705,9,0,0,0,0
58,Adelaide,47,PM2.5,38,1,10,32,64,32,0,0,0,0
59,Hai Phong,103,PM2.5,67,10,31,46,276,7,0,0,0,0
60,Mombasa,55,PM2.5,54,2,17,27,150,1,0,0,0,0
61,Jiaxing,87,PM2.5,68,5,26,47,641,16,0,0,0,0
62,Helsinki,54,PM2.5,13,0,14,26,173,17,0,0,1,0
63,Porto,114,PM2.5,11,1,42,59,206,33,0,0,0,0
64,Zhanjiang,62,PM2.5,57,2,15,35,396,4,0,0,0,0
65,Prague,93,PM2.5,16,1,32,37,281,23,1,11,0,0
66,Dongying,154,PM2.5,12,14,67,124,1132,37,0,0,0,0
67,Mianyang Sichuan,76,PM2.5,37,1,24,79,279,45,4,14,0,0
68,Nanchong,85,PM2.5,16,1,24,33,487,10,0,0,0,0
69,Fushun Liaoning,85,PM2.5,16,1,24,33,487,10,0,0,0,0
70,Antalya,86,PM2.5,1,1,29,33,616,62,0,0,0,0
71,Bareilly,187,PM2.5,32,7,135,242,901,28,2,19,5,0
72,Kazan,25,PM2.5,26,2,7,10,149,2,0,0,0,0
73,Ad-Dammam,163,PM2.5,53,25,88,155,191,40,0,0,0,0
74,Port Elizabeth,62,PM2.5,18,2,18,41,175,29,2,3,0,0
75,Ahvaz,32,O3,32,0,5,5,111,1,0,0,0,0
76,Florianopolis,60,PM2.5,22,1,18,27,54,15,0,0,0,0
77,Nizhniy Novgorod,82,PM2.5,24,2,33,47,163,26,0,0,0,0
78,Dublin,62,PM2.5,21,2,19,27,210,21,2,15,0,0
79,Maoming,21,O3,21,0,5,6,164,6,2,2,0,0
80,Mysore,76,PM2.5,19,2,23,84,235,37,4,13,4,0
81,Suzhou,69,PM2.5,27,0,17,34,177,25,0,0,0,0
82,Maracay,69,PM2.5,27,0,17,34,177,25,0,0,0,0
83,Astana,33,PM2.5,17,4,8,12,166,6,0,0,0,0
84,Uyo,28,O3,15,0,6,12,125,6,0,0,0,0
85,Bhubaneswar,70,PM2.5,33,2,20,36,254,7,0,0,0,0
86,Pingdingshan Henan,160,PM2.5,76,10,77,115,412,32,0,0,0,0
87,Mendoza,160,PM2.5,76,10,77,115,412,32,0,0,0,0
88,Chiang Mai,53,PM2.5,17,1,13,28,199,22,0,0,0,0
89,Tiruchirappalli,62,PM2.5,40,5,19,40,294,11,3,8,1,0
90,Omsk,62,PM2.5,40,5,19,40,294,11,3,8,1,0
91,Huaibei,110,PM2.5,59,2,39,100,180,31,2,8,0,0
92,Jinhua,86,PM2.5,1,3,30,53,1276,52,136,183,0,0
