,city,Temp_avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
193,Toluca de Lerdo,27,26,26,26,26,28,29,28,28,28,28,27,26
194,Patna,26,15,20,25,30,32,32,30,30,30,27,22,17
195,Brazzaville,,,,,,,,,,,,,
196,Luoyang,15,1,4,10,16,21,26,27,26,21,16,9,3
197,Bhopal,26,18,21,26,31,34,31,27,26,27,26,23,19
198,San Juan,27,25,25,26,27,27,28,28,28,28,28,27,26
199,Damascus,18,7,9,12,17,21,25,28,28,25,20,13,8
200,Brisbane,20,25,25,23,21,18,16,15,16,18,20,22,24
201,Beirut,21,13,14,15,19,22,25,27,28,27,24,19,15
202,Tunis,20,12,12,15,17,21,25,28,29,26,22,17,13
203,Tangerang,,,,,,,,,,,,,
204,Mogadishu,28,28,28,29,28,29,29,26,26,28,27,27,27
205,Baku,15,5,5,8,13,18,24,26,26,22,17,11,7
206,Medan,28,27,28,28,28,28,28,28,28,28,27,27,27
207,Belem,28,27,27,27,27,28,28,28,28,28,28,28,28
208,Nantong,16,4,5,9,14,20,23,28,28,24,19,13,6
209,Sendai,13,2,2,5,10,15,19,23,24,21,15,10,5
210,Houston,22,13,15,18,21,25,28,29,29,27,22,17,13
211,Manaus,28,27,27,27,27,27,28,28,29,29,29,29,28
212,Barranquilla,28,28,28,28,29,29,29,29,29,29,28,28,28
213,Maracaibo,29,28,28,29,29,29,30,30,30,29,29,29,28
214,Gujranwala,23,11,15,20,26,31,32,30,29,28,25,19,13
215,Rawalpindi,22,11,13,18,24,29,31,30,29,28,23,17,13
216,Peshawar,23,12,14,19,24,29,32,31,30,29,24,18,13
217,Taoyuan,,,,,,,,,,,,,
218,Agra,26,15,19,25,30,35,34,31,30,30,27,22,17
219,Hohhot,7,-11,-6,1,9,16,21,23,21,15,8,-1,-9
220,Baotou,8,-9,-5,2,9,15,20,22,20,15,9,0,-7
221,Vadodara,28,20,23,28,32,35,33,30,29,30,29,25,22
222,Kannur,29,28,29,30,31,30,28,27,27,28,29,29,29
223,Liuzhou,,,,,,,,,,,,,
224,Visakhapatnam,28,25,26,28,29,31,30,29,29,29,29,27,25
225,Xuzhou,15,1,4,9,15,22,25,28,27,22,17,9,3
226,Daegu,14,1,3,8,14,19,23,26,26,22,16,9,3
227,Naples,17,9,10,12,15,19,23,26,26,22,19,14,10
228,Amman,18,9,10,12,17,21,25,26,26,25,21,15,10
229,Tijuana,18,14,14,15,16,18,19,22,22,22,19,17,14
230,Esfahan,16,4,6,10,16,21,26,29,28,23,17,10,5
231,Phnom Penh,29,27,28,30,30,30,30,29,29,29,28,28,27
232,Havana,25,21,22,23,25,26,27,28,28,27,26,24,22
233,Nashik,28,24,25,27,29,30,30,28,28,28,29,28,26
234,Grande Vitoria,28,28,28,27,28,28,28,28,28,29,29,29,29
235,Vijayawada,29,25,26,28,31,33,32,31,30,30,29,27,26
236,Brussels,11,4,4,7,10,14,16,18,18,15,11,7,4
237,Mecca,29,18,21,24,29,33,36,36,37,35,30,24,20
238,Hiroshima,17,6,6,9,15,20,23,27,29,25,19,13,8
239,Perth,18,25,25,23,20,16,14,13,13,14,17,20,22
240,Multan,26,13,16,22,28,34,35,34,33,31,27,21,15
241,Yangzhou,,,,,,,,,,,,,
242,Minsk,7,-4,-4,1,8,13,17,19,18,12,7,1,-3
243,Bursa,15,6,7,10,13,18,23,25,26,21,16,12,8
244,Baoding,13,-3,1,7,14,21,25,27,26,21,14,5,-1
245,Aleppo,18,6,8,11,16,22,26,29,29,26,20,12,8
246,Putian,,,,,,,,,,,,,
247,Taizhou Zhejiang,,,,,,,,,,,,,
248,Conakry,25,24,24,25,26,26,24,25,24,23,23,25,24
249,Linyi Shandong,13,-3,0,7,14,21,25,27,26,21,14,5,-1
250,Wuhu Anhui,17,4,7,11,18,23,26,29,29,24,19,12,7
251,Vienna,11,0,2,6,11,15,19,21,21,16,11,5,1
252,Kollam,28,28,28,29,29,29,28,27,28,28,28,28,28
253,Valencia,27,27,28,28,29,28,27,27,26,27,27,27,27
254,Rajkot,28,21,24,28,32,34,32,29,28,29,29,26,22
255,Haikou,25,17,20,23,26,28,29,29,29,28,26,23,19
256,Almaty,,,,,,,,,,,,,
257,Baixada Santista,21,24,24,23,22,19,18,18,19,19,21,22,23
258,Yancheng Jiangsu,21,11,13,15,19,23,27,30,30,27,23,19,13
259,Daqing,4,-19,-14,-5,6,15,21,23,22,15,6,-6,-16
260,Rabat,18,12,13,15,16,18,21,23,23,22,20,16,14
261,West Yorkshire,13,2,3,8,14,18,22,24,24,20,13,8,3
262,Semarang,28,27,27,28,28,29,28,28,28,29,29,29,28
263,Quito,15,15,15,15,15,15,15,15,15,15,15,15,15
264,Panama City,,,,,,,,,,,,,
265,Hyderabad,28,17,21,26,31,34,34,32,31,31,30,25,19
266,Ludhiana,25,13,17,22,28,32,33,31,30,29,26,20,15
267,La Paz,8,9,9,9,8,7,5,5,6,7,9,9,10
268,Lianyungang,,,,,,,,,,,,,
269,Lome,28,28,29,29,29,28,27,26,26,27,27,28,28
270,Davao City,28,27,28,28,29,29,28,28,28,28,28,28,28
271,Leon de los Aldamas,25,16,19,22,25,28,30,31,31,29,25,21,17
272,Zhuhai,23,16,17,19,23,26,28,29,29,28,26,22,17
273,Turin,12,3,4,8,11,15,19,21,21,17,12,7,4
274,Bucharest,11,-1,1,6,12,17,21,23,23,18,12,6,0
275,Adana,20,10,11,14,18,22,26,29,29,27,23,16,12
276,Warsaw,9,-1,0,3,9,14,17,19,19,14,9,4,0
277,Hamburg,9,2,2,5,8,12,15,18,17,14,10,5,2
278,Datong,7,-10,-6,1,9,16,20,23,21,15,8,-1,-8
279,Benin City,27,28,29,29,29,28,27,26,25,26,26,28,28
280,Budapest,11,0,1,5,11,16,19,21,21,16,11,5,0
281,Madurai,30,26,27,30,32,33,32,32,31,31,29,27,26
282,Montevideo,17,23,23,21,18,15,11,11,12,14,17,19,22
283,Quanzhou,,,,,,,,,,,,,
284,Palembang,28,27,27,28,28,28,28,28,28,28,28,28,27
