,Unnamed: 0,city,area,unit,url
338,338,Suqian,8.555,km2,https://www.google.com/search?q=Suqian+surface+area
341,341,Yekaterinburg,468,km2,https://www.google.com/search?q=Yekaterinburg+surface+area
342,342,Abu Dhabi,972,km2,https://www.google.com/search?q=Abu+Dhabi+surface+area
343,343,Jodhpur,233.5,km2,https://www.google.com/search?q=Jodhpur+surface+area
345,345,Edmonton,684.4,km2,https://www.google.com/search?q=Edmonton+surface+area
347,347,Tegucigalpa,1.502,km2,https://www.google.com/search?q=Tegucigalpa+surface+area
348,348,Onitsha,52,km2,https://www.google.com/search?q=Onitsha+surface+area
349,349,N-Djamena,104,km2,https://www.google.com/search?q=N-Djamena+surface+area
350,350,Ranchi,175.1,km2,https://www.google.com/search?q=Ranchi+surface+area
351,351,Kathmandu,49.45,km2,https://www.google.com/search?q=Kathmandu+surface+area
352,352,Jabalpur,367,km2,https://www.google.com/search?q=Jabalpur+surface+area
353,353,Mandalay,163.8,km2,https://www.google.com/search?q=Mandalay+surface+area
356,356,Asansol,326,km2,https://www.google.com/search?q=Asansol+surface+area
358,358,Kota,570.4,km2,https://www.google.com/search?q=Kota+surface+area
359,359,San Diego,964.5,km2,https://www.google.com/search?q=San+Diego+surface+area
360,360,Kharkiv,350,km2,https://www.google.com/search?q=Kharkiv+surface+area
361,361,San Jose,469.7,km2,https://www.google.com/search?q=San+Jose+surface+area
363,363,Allahabad,365,km2,https://www.google.com/search?q=Allahabad+surface+area
364,364,Gwalior,289,km2,https://www.google.com/search?q=Gwalior+surface+area
365,365,Ottawa,2.790,km2,https://www.google.com/search?q=Ottawa+surface+area
366,366,Zurich,87.88,km2,https://www.google.com/search?q=Zurich+surface+area
367,367,Belgrade,360,km2,https://www.google.com/search?q=Belgrade+surface+area
368,368,Amritsar,139,km2,https://www.google.com/search?q=Amritsar+surface+area
369,369,Joao Pessoa,211.5,km2,https://www.google.com/search?q=Joao+Pessoa+surface+area
371,371,Basra,181,km2,https://www.google.com/search?q=Basra+surface+area
372,372,Taizhou Jiangsu,5.787,km2,https://www.google.com/search?q=Taizhou+Jiangsu+surface+area
373,373,Nouakchott,1.036,km2,https://www.google.com/search?q=Nouakchott+surface+area
