,city,area,unit,url
726,London CA,420.6,km2,https://www.google.com/search?q=London+CA+surface+area
727,Bournemouth,46.18,km2,https://www.google.com/search?q=Bournemouth+surface+area
728,Khon-Kaen,46,km2,https://www.google.com/search?q=Khon-Kaen+surface+area
729,Cheboksary,251,km2,https://www.google.com/search?q=Cheboksary+surface+area
730,Lipetsk,330.2,km2,https://www.google.com/search?q=Lipetsk+surface+area
731,Arusha,37.576,km2,https://www.google.com/search?q=Arusha+surface+area
732,Murcia,881.9,km2,https://www.google.com/search?q=Murcia+surface+area
733,Tirana,41.8,km2,https://www.google.com/search?q=Tirana+surface+area
734,Surat Thani,12.891,km2,https://www.google.com/search?q=Surat+Thani+surface+area
735,Kansas City,826.3,km2,https://www.google.com/search?q=Kansas+City+surface+area
