city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Longyan,121,PM2.5,23,5,50,50,410,28,0,0,0,0
Yuncheng,116,PM2.5,3,4,41,83,1951,28,0,0,0,0
Xiongan,55,PM2.5,16,0,13,39,359,26,10,33,0,0
Seville,74,PM2.5,11,2,23,39,534,36,14,42,1,0
Bien Hoa,92,PM2.5,21,3,42,42,368,10,0,0,0,0
Johor Bahru,138,PM2.5,12,4,48,61,177,22,0,0,0,0
Solapur,138,PM2.5,12,4,48,61,177,22,0,0,0,0
Samarinda,89,PM2.5,16,1,28,31,238,6,0,0,0,0
Tolyatti,44,PM2.5,16,1,9,15,125,11,0,0,0,0
Toulouse,73,PM2.5,6,0,22,26,172,21,0,41,0,0
Salta,22,O3,25,0,5,8,101,1,0,0,0,0
Mersin,136,PM2.5,6,2,56,107,918,42,0,0,0,0
Merca,132,PM2.5,1,61,60,97,200,65,0,0,0,0
Bali,16,O3,17,0,5,8,150,2,0,0,0,0
Yuyao,34,NO2,27,0,1,2,129,36,0,0,0,0
Teresina,71,PM2.5,22,0,24,39,205,17,0,0,0,0
Boston,34,NO2,27,0,1,2,129,36,0,0,0,0
Uberlandia,56,PM2.5,28,0,16,23,158,9,0,0,0,0
Taif,56,PM2.5,28,0,16,23,158,9,0,0,0,0
Fuzhou Jiangxi,33,PM2.5,12,1,4,12,170,13,0,0,0,0
Yuxi,67,PM2.5,2,3,21,29,1001,13,0,0,0,0
Aracaju,58,PM2.5,19,0,16,42,87,16,0,0,0,0
Leshan,121,PM2.5,20,2,44,84,687,11,0,0,0,0
Bristol,30,O3,29,0,6,18,442,10,8,24,0,0
Yueyang,108,PM2.5,3,3,38,66,943,25,0,0,0,0
Dezhou,185,PM2.5,3,7,110,132,1328,41,0,0,0,0
Marrakech,39,PM2.5,23,1,11,18,130,7,0,0,0,0
Tampico,55,PM2.5,41,4,13,23,138,2,0,0,0,0
Huzhou,103,PM2.5,1,3,35,70,626,30,0,0,0,0
Celaya,68,PM2.5,55,8,22,49,863,29,0,0,0,0
Rotterdam,49,PM2.5,8,0,9,11,199,15,3,0,1,0
Cheonan,87,PM2.5,11,2,32,51,775,15,2,4,0,0
Jundiai,81,PM2.5,26,1,28,64,714,45,0,0,4,0
Austin,42,PM2.5,30,0,10,37,200,19,0,2,0,0
Gulbarga,157,PM2.5,26,6,67,95,67,11,4,13,0,0
San Jose,45,PM2.5,34,0,10,19,287,16,2,10,0,0
Denpasar,16,O3,17,0,5,8,150,2,0,0,0,0
Odesa,72,PM2.5,30,1,25,29,132,20,0,0,0,0
Chenzhou,59,PM2.5,47,0,16,62,202,15,1,7,0,0
Padova,73,PM2.5,2,0,24,31,292,14,0,14,1,0
Durgapur,185,PM2.5,33,3,108,180,425,16,10,44,7,0
Xuchang,123,PM2.5,1,6,46,141,805,33,0,0,0,0
Kurnool,109,PM2.5,10,3,39,71,192,9,3,21,0,0
Volgograd,43,PM2.5,16,3,10,15,153,4,0,0,0,0
El Paso,38,PM10,33,1,8,43,100,10,2,5,0,0
Saltillo,39,O3,32,1,3,4,164,3,0,0,0,0
San Miguel de Tucuman,61,PM2.5,29,3,18,31,156,21,0,0,0,0
Nantes,89,PM2.5,12,0,23,35,151,19,0,4,0,0
Buraydah,118,PM2.5,36,2,45,142,112,16,0,0,0,0
Zagreb,153,PM2.5,5,5,59,96,714,41,0,0,4,0
Padang,82,PM2.5,11,1,29,68,576,20,0,0,0,0
Zhangjiagang,64,PM2.5,20,1,17,23,149,26,0,14,0,0
Cebu City,16,O3,20,2,3,4,97,2,0,0,0,0
Pontianak,49,PM2.5,15,0,11,17,198,2,0,0,0,0
Acapulco de Juarez,127,O3,64,4,11,17,169,13,0,0,0,0
Valparaiso,77,PM2.5,29,4,27,45,428,33,0,0,0,0
Liege,108,PM2.5,1,0,38,51,435,19,25,4,0,0
Taicang,66,PM2.5,33,1,22,33,113,25,1,12,0,0
Nashville,55,PM2.5,24,0,15,39,153,16,0,0,0,0
Kayseri,101,PM2.5,9,4,39,72,510,37,0,0,0,0
Genoa,72,PM2.5,16,1,20,28,370,41,0,8,1,0
Warangal,101,PM2.5,9,4,39,72,510,37,0,0,0,0
Ezhou,68,PM2.5,7,3,21,48,535,33,1,19,0,0
Changshu,115,PM2.5,6,3,41,68,1308,20,0,0,0,0
Santiago,57,PM10,49,2,12,70,239,37,0,0,0,0
Mar Del Plata,54,PM2.5,20,0,12,21,101,8,0,0,0,0
Bordeaux,56,PM2.5,3,2,10,13,157,3,0,17,0,0
Songkhla,22,PM2.5,32,0,5,8,135,0,0,0,0,0
Qujing,93,PM2.5,16,6,31,39,1222,9,0,0,0,0
Zhoukou,167,PM2.5,14,6,109,132,785,25,0,0,0,0
Nonthaburi,157,PM2.5,13,7,72,133,1429,58,0,0,0,0
Lodz,114,PM2.5,8,2,42,46,355,18,0,20,2,0
Yichun Jiangxi,66,PM2.5,10,3,23,38,210,19,1,15,0,0
Goma,171,PM2.5,2,9,91,137,712,6,1,13,0,0
Krasnodar,88,PM2.5,8,2,29,36,227,25,0,0,0,0
Oklahoma City,35,PM2.5,25,0,9,28,153,18,0,0,0,0
Cancun,40,O3,43,0,9,16,107,1,0,0,0,0
Las Vegas,35,O3,41,0,7,28,80,15,1,1,0,0
Tabuk,93,PM2.5,24,3,21,59,128,13,0,0,0,0
Ankang,93,PM2.5,10,3,30,39,377,7,0,0,0,0
General Santos City,20,PM2.5,16,0,4,6,111,1,0,0,0,0
Renqiu,110,PM2.5,8,2,37,81,363,45,4,25,0,0
Detroit,57,PM2.5,7,0,17,34,209,21,0,0,0,0
Xintai,61,PM2.5,16,0,18,44,329,33,5,27,0,0
Manama,57,PM2.5,7,0,17,34,209,21,0,0,0,0
Jixi Heilongjiang,75,PM2.5,26,1,24,30,235,11,0,0,0,0
Loudi,61,PM2.5,13,0,18,44,336,41,4,26,0,0
Jeonju,70,PM2.5,17,3,19,44,504,16,0,0,0,0
Morelia,64,PM2.5,46,5,18,40,1056,17,0,0,0,0
Bijie,90,PM2.5,31,2,27,32,434,4,0,0,0,0
Pingxiang Jiangxi,113,PM2.5,7,2,40,90,328,41,2,15,0,0
Portland,56,PM2.5,17,1,14,44,118,13,3,6,0,0
Dnipro,133,PM2.5,18,5,45,67,380,23,0,0,0,0
Qinzhou,96,PM2.5,26,8,31,49,780,10,0,0,0,0
Macao,96,PM2.5,26,8,31,49,780,10,0,0,0,0
Samsun,153,PM2.5,20,8,62,68,1293,25,0,0,0,0
Denizli,104,PM10,10,11,36,152,2424,72,0,0,0,0
Zhoushan,49,PM2.5,26,0,13,19,157,24,0,0,0,0
Busto Arsizio,56,PM2.5,3,1,15,17,348,13,0,15,1,0
Tongxiang,24,PM2.5,29,1,4,7,221,6,1,11,0,0
Longhai,102,PM2.5,4,3,38,60,680,16,0,0,0,0
Puyang,34,PM2.5,30,0,8,13,93,3,0,0,0,0
Hezhou,35,PM2.5,25,0,9,28,153,18,0,0,0,0
Jhansi,35,PM2.5,25,0,9,28,153,18,0,0,0,0
Neijiang,131,PM2.5,14,5,48,75,437,19,0,0,0,0
